wort,subset,mean_eva,sd_eva,cases_eva,mean_pot,sd_pot,cases_pot,mean_act,sd_act,cases_act
offensiv,17,5.559,1.197,202,6.236,1.252,203,6.304,1.362,191
Partei,17,4.223,1.54,202,5.248,1.798,202,4.487,1.797,191
Profit,17,5.219,1.911,201,6.073,1.498,205,5.942,1.415,191
Prügel,17,1.99,1.315,200,4.847,2.506,202,6.215,1.813,191
Rasse,17,4.593,1.385,204,5.144,1.298,202,5.126,1.19,191
Rentner,17,5.602,1.425,201,4.525,1.536,202,3.963,1.614,191
Revolution,17,4.876,1.882,202,6.611,1.668,203,6.754,1.797,191
Schande,17,2.787,1.445,202,4.286,2.091,203,5.147,1.686,191
Schnorrer,17,2.532,1.296,201,3.485,1.94,198,5.068,2.026,191
schwul,17,4.604,1.864,202,4.611,1.668,203,5.099,1.785,191
Senior,17,5.653,1.417,202,4.589,1.637,202,4.031,1.569,191
sich erniedrigen,17,2.144,1.332,201,3.084,2.022,202,4.571,1.912,191
spirituell,17,5.06,1.642,201,5.06,1.525,201,4.869,1.806,191
sympathisch,17,7.634,1.409,202,6.438,1.532,201,5.686,1.694,191
unerzogen,17,2.99,1.439,202,4.421,1.949,202,6.131,1.786,191
verarmen,17,2.398,1.569,201,3.837,2.16,202,4.937,1.948,191
Vergeltung,17,3.63,1.911,200,5.678,1.898,202,6.094,1.491,191
anweisen,18,4.403,1.307,196,5.818,1.293,214,5.721,1.278,219
Barkeeper,18,5.477,1.193,199,5.093,1.148,215,5.968,1.466,219
Beamter,18,4.386,1.338,197,5.084,1.651,214,3.855,1.93,220
befehlen,18,3.548,1.605,197,6.163,1.866,215,6.232,1.64,220
befördern,18,6.439,1.509,196,5.884,1.185,216,5.801,1.267,221
Bürgerinitiative,18,5.817,1.48,197,5.852,1.499,216,6.174,1.639,219
dreist,18,3.197,1.557,198,5.079,1.955,216,6.243,1.747,222
Egoist,18,2.883,1.648,197,4.633,2.249,215,5.589,1.851,219
Eigentümer,18,5.719,1.399,196,5.898,1.478,215,5.371,1.324,221
Erzieherin,18,5.523,1.487,197,5.606,1.427,216,5.532,1.5,218
Ethik,18,5.853,1.556,197,5.62,1.445,216,4.881,1.522,219
faul,18,3.025,1.68,197,3.516,2.051,217,2.982,2.226,219
Feigling,18,3.259,1.495,197,3.205,1.932,215,4.389,1.987,221
Flüchtling,18,3.944,1.419,197,3.778,1.962,216,5.697,1.857,221
Gastarbeiter,18,4.584,1.374,197,4.433,1.402,215,4.973,1.401,219
Gerichtssaal,18,3.619,1.502,197,6.309,1.762,217,5.668,1.952,220
gestehen,18,4.985,1.541,196,5.656,1.684,215,5.532,1.533,220
glauben,18,5.596,1.676,198,5.721,1.774,215,4.67,1.736,218
Großmutter,18,7.274,1.541,197,5.851,1.893,215,4.886,2.014,219
Gruppe,18,5.751,1.295,197,6.251,1.52,215,6.068,1.381,219
gutmütig,18,6.726,1.487,197,5.222,1.697,216,4.45,1.801,220
Herkunft,18,5.721,1.347,197,5.454,1.257,216,5.25,1.445,220
höhnisch,18,2.99,1.491,198,4.586,1.934,215,5.751,1.735,217
Imperium,18,4.437,1.633,197,6.808,1.887,213,5.863,1.634,219
Kerl,18,4.711,1.503,197,5.605,1.503,215,5.798,1.544,218
konservativ,18,4.633,1.214,196,4.772,1.297,215,3.945,1.607,220
kreativ,18,6.934,1.509,196,6.192,1.399,214,6.557,1.565,219
lesbisch,18,5.112,1.388,197,5.051,1.395,215,5.555,1.359,220
Machthaber,18,2.783,1.551,198,6.479,2.248,213,6.269,1.95,219
mobben,18,1.91,1.236,199,4.931,2.765,216,6.335,2.138,221
Psychoanalytiker,18,4.848,1.504,197,5.544,1.321,215,4.553,1.764,219
Rebellion,18,4.548,1.842,197,6.299,1.783,214,7.092,1.816,217
religiös,18,4.832,1.715,196,5.335,1.66,215,4.414,1.761,220
Respekt,18,6.944,1.415,196,6.673,1.478,217,5.548,1.663,221
Scham,18,4,1.568,197,4.398,1.837,216,4.648,1.692,219
Schikane,18,2.467,1.53,197,4.76,2.327,217,6.387,1.953,222
Schwäche,18,3.964,1.569,197,3.565,2.07,216,3.982,1.458,221
selbstherrlich,18,3.173,1.722,196,4.645,2.041,214,5.721,1.74,219
souverän,18,6.447,1.364,197,6.307,1.44,215,5.145,1.561,220
Sympathie,18,7.495,1.459,196,6.352,1.624,216,5.859,1.799,220
Teilnehmer,18,5.403,1.016,196,5.171,0.956,216,5.252,1.257,218
Unabhängigkeit,18,7.332,1.578,196,6.842,1.667,215,6.11,1.721,219
unreif,18,3.755,1.415,196,3.782,1.658,216,5.292,1.68,219
Vaterland,18,5.832,1.712,196,5.963,1.613,216,5.196,1.601,219
Verfassung,18,5.359,1.351,198,5.995,1.686,216,4.591,1.764,220
verfolgt,18,2.67,1.491,197,4.567,2.13,215,6.445,1.883,220
Verhör,18,2.802,1.335,197,5.981,1.743,215,6.245,1.747,220
vermieten,18,5.045,1.039,198,5.228,1.067,215,5.05,1.137,221
vornehm,18,5.224,1.506,196,5.213,1.424,216,4.295,1.66,220
Zusammenhalt,18,7.513,1.365,197,7.065,1.613,215,5.865,1.822,222
"Ich selbst, wie ich wirklich bin",fix,5.906,1.757,3844,5.857,1.62,3828,5.906,1.757,3844
Opfer,fix,5.118,2.142,3854,3.479,2.333,3837,5.118,2.142,3854
Ehre,fix,5.549,1.732,3845,6.526,1.621,3832,5.549,1.732,3845
Familie,fix,6.327,1.873,3856,6.919,1.714,3827,6.327,1.873,3856
Mutter,fix,5.803,1.91,3856,6.605,1.778,3835,5.803,1.91,3856
Vater,fix,5.613,1.796,3861,6.513,1.687,3825,5.613,1.796,3861
Kind,fix,7.172,1.652,3852,4.745,2.326,3831,7.172,1.652,3852
Schule,fix,5.83,1.711,3858,5.735,1.55,3834,5.83,1.711,3858
Regierung,fix,4.539,2.118,3864,5.464,2.31,3831,4.539,2.118,3864
Chef,fix,5.699,1.602,3855,6.513,1.676,3832,5.699,1.602,3855
,,4.933591209,1.587618681,,5.434391209,1.764982418,,5.507924176,1.72960989,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, 
