wort,subset,mean_eva,sd_eva,cases_eva,mean_pot,sd_pot,cases_pot,mean_act,sd_act,cases_act
strebsam,4,6.107,1.555,206,5.864,1.44,220,5.747,1.597,217
streiken,4,4.366,1.787,205,5.573,1.906,220,6.115,1.765,218
süchtig,4,2.532,1.635,205,4.359,2.76,220,5.457,2.216,219
Terrorist,4,1.854,1.54,205,5.841,2.83,220,6.761,2.326,218
umarmen,4,7.59,1.517,205,6.264,1.742,220,5.636,2.131,220
unmenschlich,4,2.254,1.652,205,4.623,2.694,220,5.598,2.212,219
unterdrücken,4,2.723,1.666,206,4.659,2.409,220,5.046,1.92,218
Unternehmer,4,5.296,1.419,206,6.255,1.502,220,5.813,1.452,219
zärtlich,4,7.824,1.458,205,6.109,2.08,220,5.525,2.346,221
Zorn,4,3.2,1.696,205,6.091,2.179,220,6.618,2.098,220
zusammenarbeiten,4,6.985,1.457,206,6.155,1.729,220,5.923,1.567,220
allein,5,3.704,1.719,216,4.498,1.983,215,3.89,1.875,228
Altar,5,4.898,1.822,216,5.07,1.861,214,3.978,1.954,228
arabisch,5,4.367,1.616,218,4.944,1.675,214,5.268,1.762,228
Arbeit,5,5.778,1.778,216,5.921,1.481,215,6.035,1.48,229
ausgrenzen,5,2.848,1.575,217,4.456,2.154,215,5.294,1.792,228
Clique,5,5.823,1.808,215,6.028,1.507,214,6.284,1.562,229
demütigen,5,2.546,1.527,216,4.284,2.322,215,5.474,1.988,228
devot,5,4.225,1.698,218,4.241,1.921,216,4.677,1.595,229
edel,5,6.447,1.527,217,6,1.479,214,5.253,1.404,229
Ehrung,5,6.553,1.524,217,5.94,1.523,215,5.737,1.669,228
eifrig,5,6.208,1.29,216,5.864,1.295,214,6.245,1.374,229
Erfolg,5,7.204,1.403,216,6.753,1.525,215,6.539,1.629,228
flexibel,5,6.428,1.432,215,5.879,1.382,214,6.048,1.473,228
Freundschaft,5,7.719,1.361,217,7.168,1.559,214,6.249,1.904,229
Geiz,5,3.241,1.743,216,4.544,2.034,215,4.856,1.762,229
Gespräch,5,6.188,1.41,218,5.766,1.448,214,5.894,1.268,227
Grillabend,5,7.174,1.505,218,5.766,1.557,214,6.127,1.822,228
großzügig,5,6.931,1.385,218,6.265,1.384,215,5.786,1.582,229
heroisch,5,4.833,1.534,216,5.763,1.625,215,5.798,1.509,228
Hörigkeit,5,3.221,1.739,217,4.447,2.369,215,4.825,1.881,228
Ingenieur,5,5.628,1.235,218,5.599,1.214,217,5.185,1.347,227
jmd. opfern,5,2.641,1.905,217,4.537,2.563,214,5.721,1.994,229
Journalist,5,4.995,1.335,217,5.54,1.345,215,5.868,1.499,228
kämpfen,5,4.876,2.027,217,6.205,1.812,215,6.834,1.614,229
korrupt,5,2.512,1.602,217,4.874,2.44,215,5.847,2.015,229
die Liebste,5,7.712,1.618,215,6.749,1.681,215,6.487,2.034,228
Lob,5,7.37,1.382,216,6.542,1.453,216,6.179,1.635,229
Metzger,5,5.033,1.277,215,5.313,1.411,214,5.066,1.367,228
Ohnmacht,5,3.226,1.491,217,4.084,2.138,215,4.399,2.074,228
Opposition,5,4.797,1.339,217,5.195,1.629,215,5.314,1.693,229
Papa,5,6.805,1.928,215,6.481,1.717,216,5.725,1.784,229
Patient,5,4.493,1.378,217,4.245,1.64,216,4.833,1.62,228
Picknick,5,6.679,1.458,215,5.403,1.388,216,5.598,1.731,229
Polizist,5,5.33,1.491,218,6.204,1.58,216,5.78,1.576,227
Präsident,5,5.102,1.339,216,6.088,1.766,215,5.328,1.52,229
quälen,5,2.324,1.829,216,4.827,2.522,214,5.843,2.134,229
Randalierer,5,2.37,1.606,216,4.815,2.569,216,6.824,2.073,227
rausschmeißen,5,2.907,1.675,215,4.995,2.162,216,6.452,1.899,228
Rebell,5,4.463,1.957,216,5.884,1.832,215,6.642,1.814,229
Rivale,5,3.468,1.567,216,5.563,1.665,215,6.345,1.657,229
Sehnsucht,5,5.032,1.98,218,6.164,1.705,214,5.275,2.086,229
Staatsfeind,5,2.949,1.819,217,5.43,2.312,214,6.263,1.896,228
stark,5,6.479,1.497,217,6.766,1.59,214,6.183,1.502,229
Streik,5,4.12,1.686,216,5.841,1.701,214,6.288,1.692,229
Subkultur,5,4.991,1.333,217,5.14,1.303,214,5.393,1.514,229
Sündenbock,5,3.056,1.539,216,4.093,1.912,216,5.377,1.874,228
trösten,5,6.435,1.647,216,5.931,1.628,216,4.759,1.837,228
unsozial,5,2.742,1.663,217,3.916,2.186,215,5.5,2.008,228
Verkäuferin,5,5.429,1.176,219,4.939,1.245,214,5.1,1.378,230
Zeitung,5,5.502,1.405,217,5.63,1.529,216,5.319,1.524,229
Abendessen,6,6.898,1.402,206,5.571,1.38,205,5.074,1.814,217
Abweichler,6,4.396,1.406,207,4.483,1.653,205,5.184,1.673,217
Alleinsein,6,3.712,2.079,208,4.358,2.144,204,3.654,2.161,214
Anerkennung,6,7.038,1.581,208,6.65,1.379,203,6.009,1.587,217
anmeckern,6,3.266,1.562,207,4.571,1.788,203,6.156,1.843,218
anpassen,6,5.068,1.579,206,5.034,1.672,203,4.769,1.64,216
Asylrecht,6,4.367,1.83,207,4.554,1.892,204,5.205,1.784,215
ausbeuten,6,2.372,1.533,207,4.7,2.569,203,5.851,2.041,215
ausländisch,6,4.861,1.735,208,4.751,1.462,205,5.366,1.579,216
bewundern,6,6.43,1.453,207,5.946,1.339,202,5.688,1.571,215
Bundesregierung,6,3.903,1.757,207,4.848,2.29,204,4.234,2.182,218
CDU (Partei),6,3.723,2.045,206,4.251,2.216,203,4.143,2.263,217
der Leiter,6,5.039,1.414,206,6.094,1.518,202,5.581,1.296,217
eingesperrt,6,2.466,1.659,208,4.337,2.44,202,4.921,2.417,216
Expertin,6,6.155,1.409,207,6.45,1.442,202,5.735,1.609,215
fleißig,6,6.947,1.366,207,6.468,1.405,203,6.198,1.611,217
Geduld,6,6.461,1.591,206,6.084,1.7,203,4.412,1.963,216
Gemeinschaft,6,6.549,1.6,206,6.571,1.567,203,5.912,1.617,215
Genie,6,6.272,1.627,206,6.662,1.553,204,6.014,1.765,217
habgierig,6,2.626,1.508,206,4.571,2.384,203,5.751,1.987,217
hilflos,6,3.043,1.73,207,3.586,2.154,203,4.567,2.038,217
korrekt,6,6.638,1.548,207,6.188,1.488,202,5.369,1.637,217
Lebensgemeinschaft,6,6.937,1.641,206,6.537,1.692,203,6.266,1.672,218
Lehrmeister,6,5.262,1.589,206,6.272,1.393,202,5.479,1.45,217
locker,6,6.694,1.414,206,5.366,1.563,202,5.502,1.67,217
Mehrheit,6,5.699,1.335,206,6.436,1.502,202,5.653,1.625,219
Mitleid,6,4.768,1.665,207,5.05,1.781,202,4.778,1.754,216
Mittelschicht,6,5.333,1.51,207,5.079,1.523,203,5.083,1.345,217
Monarchie,6,4.471,1.95,206,5.213,2.056,202,4.537,1.941,216
Moslem,6,4.167,1.769,209,4.877,1.659,203,5.129,1.751,217
Not,6,2.644,1.609,208,4.793,2.394,203,5.535,2.027,215
Protest,6,5.063,1.727,207,6.114,1.679,202,6.596,1.792,218
qualifiziert,6,6.816,1.486,207,6.695,1.257,203,5.935,1.508,217
Regime,6,3.471,1.818,206,5.695,2.177,203,5.569,2.013,216
reizbar,6,3.483,1.507,207,4.844,1.942,205,6.307,1.644,218
Reue,6,5.13,1.677,207,5.241,1.717,203,4.889,1.71,217
Richterin,6,4.927,1.635,206,6.74,1.758,204,5.407,1.784,216
schreien,6,3.34,1.708,206,4.872,2.217,203,6.691,2,217
Schwiegervater,6,5.38,1.757,208,5.433,1.623,203,5.207,1.686,217
Stärke,6,6.689,1.445,206,6.951,1.392,204,6.267,1.504,217
Störenfried,6,2.865,1.582,208,4.77,2.213,204,6.387,2.02,217
streng,6,4.136,1.653,206,5.886,1.658,202,5.548,1.75,217
Sünder,6,3.812,1.542,207,4.162,1.937,204,5.312,1.669,218
taktvoll,6,6.72,1.4,207,6.025,1.391,204,5.2,1.565,215
trauern,6,3.43,1.713,207,5.034,2.194,203,4.143,2.253,217
unterordnen,6,3.531,1.57,207,4.271,1.945,203,4.276,2.002,217
untreu,6,2.691,1.755,207,4.146,2.38,205,5.724,2.264,217
Verkäufer,6,5.121,1.307,207,5.039,1.182,204,5.29,1.482,217
Vertrag,6,5.394,1.467,208,6.267,1.512,202,5.276,1.635,217
Weib,6,5.476,2.023,206,5.275,1.866,204,6.069,1.787,217
angepasst,7,4.995,1.638,216,4.737,1.65,217,4.303,1.616,211
Anschiss,7,2.565,1.48,216,4.653,2.27,219,6.09,2.118,210
Arbeiter,7,5.88,1.409,216,5.251,1.476,219,5.389,1.167,211
arbeitslos,7,2.644,1.605,216,3.813,2.223,219,4.483,2.483,211
Architekt,7,5.63,1.209,216,5.613,1.283,217,5.014,1.452,211
Ärztin,7,6.234,1.486,218,6.374,1.452,219,5.441,1.502,211
bedrohen,7,2.213,1.482,216,4.601,2.607,218,6.057,2.214,211
besaufen,7,2.926,2.017,216,3.178,2.153,219,5.498,2.391,211
beschimpfen,7,2.537,1.418,218,3.907,2.107,216,5.9,2.136,209
brav,7,6.317,1.523,218,4.908,1.688,218,4.194,1.835,211
Bürgermeister,7,5.171,1.19,216,5.751,1.561,217,4.805,1.539,210
DIE LINKE (Partei),7,4.074,2.047,216,4.289,1.961,218,5.095,2.04,210
Enkel,7,7.037,1.636,216,5.739,1.913,218,6.651,1.678,209
Exfrau,7,3.881,1.596,218,4.7,1.812,217,5.281,1.872,210
extremistisch,7,2.847,1.817,216,4.894,2.474,218,6.005,2.058,211
Feiertag,7,7.055,1.625,219,5.622,1.687,217,5.124,1.999,209
Fleiß,7,7.116,1.275,215,6.53,1.572,217,6.214,1.486,210
Freundeskreis,7,7.567,1.493,215,6.702,1.632,218,6.352,1.577,210
Hautfarbe,7,5.381,1.283,218,5.16,1.214,219,5.143,1.128,210
hilfsbedürftig,7,4.065,1.785,216,4.023,2.203,220,5.076,1.926,211
hochnäsig,7,2.593,1.428,216,3.686,2.1,220,5.028,1.983,211
jmd. erniedrigen,7,2.078,1.496,218,3.152,2.474,217,5.204,2.351,211
jmd. vertreten,7,5.702,1.319,218,5.963,1.446,216,5.612,1.337,209
kritisch,7,5.097,1.63,216,5.659,1.429,220,5.801,1.327,211
Kumpel,7,6.858,1.561,218,6.211,1.469,218,5.929,1.567,211
lüstern,7,4.613,2.006,217,4.709,1.974,220,5.948,1.749,211
mein,7,6.267,1.561,217,6.064,1.675,218,5.605,1.525,210
menschenunwürdig,7,2.343,1.954,216,4.009,2.674,218,5.64,2.174,211
Mitbewohner,7,5.788,1.388,217,5.283,1.304,219,5.592,1.357,211
Miteinander,7,7.273,1.396,216,6.733,1.552,217,6.246,1.59,211
nutzlos,7,2.871,1.45,217,3.488,1.806,217,3.976,2.02,211
ostdeutsch,7,5.023,1.69,217,4.583,1.495,216,4.986,1.466,209
Prestige,7,5.599,1.456,217,5.699,1.583,219,5.332,1.507,211
Rache,7,2.789,1.809,218,4.931,2.677,217,5.948,2.259,210
Richter,7,5.13,1.405,216,6.47,1.87,219,5.336,1.545,211
siegen,7,7.212,1.385,217,6.859,1.583,220,6.943,1.476,210
Sohn,7,7.125,1.717,216,6.178,1.782,219,6.529,1.535,210
sorglos,7,6.287,2.157,216,5.376,1.985,218,4.791,1.842,211
Spezialist,7,6.234,1.257,218,6.402,1.518,219,5.633,1.498,210
Straftäter,7,2.079,1.42,216,4.059,2.491,219,5.905,2.169,211
Student,7,5.498,1.378,217,5.201,1.34,219,5.133,1.695,210
Tradition,7,6.306,1.528,216,6.231,1.58,216,5.257,1.92,210
traurig,7,3.111,1.533,216,4.396,2.055,217,4.176,1.947,210
Umsturz,7,3.935,1.795,216,5.716,2.048,218,6.143,1.978,210
unmündig,7,3.495,1.528,216,3.624,1.838,218,4.397,1.67,209
Unrecht,7,2.528,1.572,218,4.636,2.433,217,5.714,2.119,210
Verdienst,7,6.55,1.747,218,5.977,1.673,220,5.819,1.696,210
Vertrauter,7,7.055,1.483,218,6.391,1.481,220,5.398,1.674,211
Vorstand,7,4.94,1.283,215,6.142,1.686,218,5.066,1.504,212
Wohngemeinschaft,7,5.574,1.523,216,5.319,1.267,216,5.91,1.588,211
Anarchist,8,3.913,1.834,208,5.202,1.819,203,5.871,1.756,217
anleiten,8,5.847,1.389,209,5.606,1.343,203,5.244,1.404,217
Arbeitsloser,8,4.005,1.631,209,3.751,1.832,205,4.267,1.889,217
Asyl,8,4.215,1.756,209,4.5,1.883,202,5.028,1.701,216
aufmüpfig,8,4.091,1.493,208,5.373,1.657,204,6.218,1.595,216
Ausflug,8,6.865,1.432,208,5.433,1.274,203,6.148,1.59,216
Azubi,8,5.789,1.178,209,4.672,1.437,204,5.364,1.381,217
Begleiter,8,6.399,1.358,208,5.572,1.211,201,5.415,1.464,217
Bekannter,8,6.288,1.29,208,5.377,1.178,204,5.384,1.31,216
brutal,8,2.096,1.563,209,5.581,2.704,203,6.269,2.351,219
Chaot,8,4.115,1.902,208,4.602,1.887,201,6.542,1.85,216
drohen,8,2.66,1.576,209,5.351,2.39,202,6.218,1.906,216
erniedrigen,8,2.474,1.881,209,4.363,2.545,204,5.39,2.164,218
Freiheit,8,7.779,1.481,208,6.985,1.836,203,6.493,1.841,217
fürchten,8,3.351,1.563,208,4.712,2.053,205,5.703,1.779,219
Gattin,8,6.381,1.871,210,5.708,1.529,202,5.843,1.673,217
Gauner,8,3.091,1.739,209,4.678,1.978,202,6.023,1.831,219
gewinnen,8,7.119,1.525,210,6.52,1.632,204,6.795,1.678,219
Gewissen,8,6.364,1.542,209,6.407,1.715,204,5.62,1.716,216
hochmütig,8,3.469,1.757,209,4.718,1.925,202,5.505,1.742,218
hörig,8,3.256,1.813,211,4.224,2.386,205,4.583,1.868,216
Hoffnung,8,7.324,1.401,210,6.473,1.836,203,5.884,1.917,216
intrigant,8,2.88,1.636,208,4.99,2.202,204,5.77,2.021,217
Junge,8,6.226,1.425,208,5.398,1.453,201,6.202,1.52,218
Kanzler,8,4.589,1.648,209,5.757,2.187,202,4.719,1.953,217
Klassenfahrt,8,6.268,1.57,209,5.291,1.32,203,6.26,1.674,215
Kollege,8,5.938,1.271,209,5.353,1.038,204,5.362,1.256,218
Kritiker,8,4.589,1.53,209,5.813,1.553,203,5.788,1.576,217
Lebensgefährte,8,7.067,1.616,209,5.966,1.648,203,5.931,1.743,217
minderwertig,8,3.072,1.593,209,3.719,2.077,203,4.486,1.87,218
Mitgefühl,8,6.952,1.534,210,6.02,1.844,204,5.338,1.823,216
national,8,5.619,1.53,210,5.549,1.551,204,5.203,1.314,217
Polizistin,8,5.292,1.694,209,6.005,1.507,204,5.763,1.483,219
pünktlich,8,7.033,1.603,209,6.282,1.668,202,5.654,1.814,217
Reife,8,6.586,1.449,210,6.188,1.537,202,5.341,1.659,217
reuig,8,5.119,1.487,210,4.678,1.619,205,4.798,1.573,218
Sieger,8,6.852,1.517,209,6.941,1.527,203,6.619,1.662,218
Skinhead,8,2.431,1.823,209,4.709,2.623,203,6.23,2.361,217
Soldat,8,4.565,1.709,209,5.766,1.579,205,5.67,1.638,218
Staatsanwalt,8,4.457,1.59,210,6.626,1.771,203,5.541,1.872,218
Status,8,5.51,1.465,208,5.559,1.499,202,5.164,1.408,220
strafbar,8,3.445,1.857,209,5.089,2.057,203,5.76,1.779,217
tadeln,8,3.909,1.479,209,5.305,1.655,203,5.631,1.516,217
treulos,8,2.756,1.548,209,4.147,2.185,204,5.668,2.046,220
Verbündete,8,6.457,1.516,210,6.182,1.519,203,5.585,1.597,217
verehren,8,6.481,1.4,208,5.787,1.483,202,5.488,1.61,217
verlegen sein,8,4.311,1.432,209,4.228,1.522,202,4.639,1.635,219
Volk,8,5.837,1.532,209,5.995,1.77,203,5.339,1.664,218
Widerstand,8,5.019,1.81,208,6.278,1.691,205,6.419,1.73,217
Zugehörigkeit,8,6.571,1.558,210,6.211,1.579,204,5.359,1.613,217
adelig,9,4.847,1.777,215,5.324,1.966,210,4.612,1.797,209
anpumpen,9,2.921,1.472,214,3.633,1.701,210,5.133,1.734,210
asozial,9,2.425,1.648,214,3.708,2.357,212,5.195,2.381,210
auszeichnen,9,6.716,1.453,215,6.336,1.304,211,5.928,1.608,209
Bar,9,5.684,1.412,215,5.005,1.165,211,5.667,1.743,210
Behinderter,9,5.316,1.483,215,4.402,1.874,209,4.868,1.537,212
Beziehung,9,7.318,1.536,214,6.786,1.691,210,6.555,1.759,209
Bürger,9,5.766,1.271,214,5.386,1.441,210,5.062,1.51,208
Chaos,9,3.484,1.758,215,5.308,2.145,208,6.768,1.99,211
dekadent,9,4.18,1.691,217,4.744,1.509,211,4.932,1.621,207
Ehemann,9,6.472,1.885,216,5.957,1.668,209,5.543,1.791,210
eingeschüchtert,9,3.153,1.488,215,3.708,1.975,209,4.238,1.897,210
Einladung,9,6.865,1.455,215,5.754,1.423,211,5.924,1.612,210
elitär,9,4.595,1.585,215,5.376,1.552,210,5.124,1.409,210
entlassen,9,2.707,1.744,215,4.493,2.262,209,5.455,2.168,209
erfahren,9,6.86,1.346,214,6.425,1.345,212,5.529,1.714,210
fesseln,9,3.598,1.969,214,5.072,2.238,209,5.948,1.918,211
geduldig,9,6.648,1.647,216,6.052,1.575,210,4.5,1.897,210
Gehalt,9,6.693,1.933,215,6.028,1.867,211,5.766,1.786,209
Gesamtschule,9,5.252,1.602,214,5.028,1.527,212,5.287,1.488,209
gestresst,9,3.219,1.722,215,4.914,1.944,209,6.45,1.839,209
Gottesdienst,9,4.743,2.219,214,4.678,2.007,211,3.962,2.191,213
Gourmet,9,6.509,1.664,214,5.729,1.527,210,5.268,1.777,209
GRÜNE (Partei),9,4.794,2.054,214,4.751,1.87,209,4.705,2.028,210
Kampf,9,3.589,2.058,214,6.081,2.093,210,6.581,1.946,210
Komplize,9,3.642,1.771,215,4.861,1.885,209,5.63,1.891,208
Konsens,9,5.444,1.442,214,5.392,1.33,209,5.123,1.236,211
kraftlos,9,3.28,1.564,214,3.422,1.932,211,3.652,1.896,210
Lehrer,9,5.355,1.558,214,5.604,1.562,212,4.9,1.548,210
Leistung,9,6.609,1.611,215,6.763,1.431,211,6.469,1.55,213
Mädchen,9,6.551,1.682,214,5.151,1.743,212,6.057,1.797,209
Managerin,9,5.593,1.747,216,6.158,1.664,209,5.81,1.672,210
Mentor,9,5.902,1.471,215,5.957,1.395,209,5.226,1.443,212
Mitschüler,9,5.593,1.39,214,5.267,1.375,210,5.486,1.432,210
Partnerschaft,9,7.579,1.563,214,6.891,1.73,211,6.5,1.926,212
schlagen,9,2.227,1.57,216,4.472,2.685,212,6.104,2.244,211
selbstbewusst,9,7.195,1.504,215,7.024,1.472,210,6.321,1.72,209
Sozialarbeiter,9,5.38,1.732,216,5.268,1.708,209,4.877,1.654,211
Straftat,9,2.023,1.362,215,4.548,2.652,210,6.043,2.271,209
Täter,9,2.383,1.69,214,4.8,2.579,210,6.09,2.149,210
überzeugen,9,6.31,1.469,216,6.395,1.464,210,6.033,1.609,210
unterstützen,9,6.907,1.562,215,6.426,1.537,209,5.746,1.574,209
Vaterfigur,9,6.084,1.919,214,6.459,1.464,209,5.507,1.735,209
verbieten,9,3.4,1.383,215,5.205,2.01,210,5.601,1.802,208
Verlierer,9,3.237,1.533,215,3.288,1.829,208,4.216,1.835,213
verstoßen,9,2.752,1.513,214,4.569,2.348,211,5.303,1.803,211
vertrauen,9,7.603,1.585,214,6.967,1.676,210,5.714,1.975,210
Volksfest,9,5.832,1.744,214,5.283,1.625,212,6.412,1.777,211
Wirt,9,5.472,1.24,214,5.129,1.177,210,5.243,1.328,210
Zuneigung,9,7.521,1.546,215,6.967,1.716,209,6.194,1.955,211
Abitur,10,6.512,1.643,215,6.22,1.563,209,6.076,1.504,211
Aktivist,10,5.321,1.511,218,5.573,1.524,211,6.105,1.587,209
begabt,10,7.042,1.458,214,6.479,1.452,213,6.071,1.53,212
behindert,10,4.138,1.63,217,4.137,1.948,212,4.777,1.528,211
Blamage,10,2.873,1.507,213,4.613,2.153,212,5.957,1.86,211
bürgerlich,10,5.644,1.509,216,5.276,1.383,210,4.467,1.703,210
Bundestag,10,4.598,1.481,214,5.128,1.985,211,4.495,1.984,210
Chor,10,5.537,1.567,216,5.099,1.659,212,5.1,1.673,210
Demokratie,10,6.294,1.75,214,5.892,1.906,213,5.379,1.879,211
diskriminieren,10,2.624,1.508,213,4.678,2.336,211,5.878,1.792,213
durchsetzen,10,6.167,1.507,215,6.483,1.519,209,6.392,1.371,212
eitel,10,4.234,1.59,214,4.882,1.63,211,5.133,1.471,211
Erziehung,10,6.2,1.595,215,6.498,1.462,211,6.462,1.535,210
Exmann,10,3.791,1.62,215,4.278,1.843,212,5.075,1.856,212
Familienleben,10,7.362,1.636,213,6.615,1.849,213,6.479,1.855,211
Feind,10,2.573,1.596,213,5.352,2.331,210,6.199,1.959,211
frustriert,10,3.005,1.409,215,4.507,1.883,211,5.205,2.022,210
gerecht,10,7.399,1.362,213,6.486,1.783,210,5.673,1.722,211
Händler,10,5.112,1.012,215,5.233,1.217,210,5.519,1.256,212
Herrin,10,3.935,1.81,215,5.967,2.207,213,5.858,1.663,212
Individualist,10,5.893,1.539,214,5.745,1.594,212,5.633,1.472,210
Job,10,6.521,1.525,215,6.316,1.57,212,6.184,1.521,212
Käfig,10,3.074,1.59,215,4.962,2.274,211,4.611,2.047,211
Kindergarten,10,6.472,1.623,214,5.509,1.656,212,7.005,1.658,211
kinderlos,10,4.126,1.668,215,4.427,1.585,211,4.028,1.805,211
Krimineller,10,2.349,1.493,215,4.833,2.373,210,6.219,2.052,210
lügen,10,2.728,1.467,213,4.486,2.398,212,5.938,1.961,209
Mama,10,7.34,1.722,215,6.627,1.867,212,6.062,1.998,210
Meinung,10,6.648,1.515,216,6.469,1.535,211,6.119,1.528,210
Migrant,10,4.46,1.49,215,4.472,1.592,212,5.246,1.725,211
Ministerpräsident,10,4.819,1.275,215,5.362,1.836,210,4.502,1.66,211
Moschee,10,4.205,1.779,215,4.867,1.981,210,4.645,1.855,211
NPD (Partei),10,2.336,1.889,214,4.071,2.577,210,5.467,2.45,212
Partner,10,7.532,1.43,216,6.559,1.571,211,6.374,1.712,211
Pazifist,10,5.238,1.696,214,5.047,1.748,211,5.033,1.624,212
Risiko,10,4.572,1.604,215,5.711,1.723,211,6.733,1.656,210
Seniorin,10,5.846,1.526,214,4.389,1.784,211,4.133,1.739,210
Sicherheit,10,7.3,1.518,213,6.51,1.717,210,4.967,2.158,209
spießig,10,3.357,1.606,213,4.171,1.892,210,4.227,1.894,211
Staat,10,4.888,1.413,215,5.552,2.082,212,4.729,1.916,210
Strafe,10,3.145,1.837,214,5.657,2.065,210,5.929,1.755,212
Sünde,10,3.847,1.764,215,5,1.995,210,5.89,1.723,210
unfair,10,2.847,1.507,215,4.732,2.195,213,6,1.908,212
Uniform,10,4.676,1.708,216,5.519,1.828,210,4.943,1.567,210
unsicher,10,3.657,1.36,213,4.043,1.686,211,4.8,1.648,210
Verbot,10,3.628,1.658,215,5.682,2,211,5.657,1.795,210
Verehrer,10,6.664,1.498,214,5.62,1.551,213,6.502,1.497,211
verlieren,10,3.219,1.483,215,4.368,2.011,212,5.318,1.872,211
verrucht,10,4.236,1.849,216,5.094,1.779,212,6.086,1.62,210
verwöhnen,10,7.374,1.495,214,5.981,1.588,212,5.552,2.073,210
Abiturient,11,5.811,1.398,212,5.488,1.388,211,5.526,1.38,215
Angeber,11,2.699,1.647,209,3.8,2.254,210,5.862,2.09,217
Ansehen,11,6.419,1.389,210,6.421,1.395,209,5.241,1.475,216
Behörde,11,3.756,1.567,209,5.635,2.108,211,4.213,2.214,216
beten,11,5.177,2.017,209,5.01,2.109,210,3.677,2.027,217
defensiv,11,4.493,1.507,211,4.376,1.639,210,4.142,1.768,218
der Erbe,11,5.311,1.558,209,5.238,1.435,210,5.255,1.505,216
deutsch,11,6.464,1.665,211,5.99,1.598,210,5.276,1.493,217
Diener,11,4.595,1.51,210,4.28,1.574,211,4.355,1.533,217
Diskussion,11,5.695,1.526,210,6.151,1.23,212,6.797,1.523,217
Extremist,11,2.735,1.845,211,5.41,2.437,210,6.855,1.892,214
feminin,11,6.071,1.804,210,5.377,1.64,212,5.429,1.577,217
Gefängnis,11,2.357,1.584,210,5.403,2.491,211,5.889,2.134,216
gemeinsam,11,7.201,1.49,209,7.019,1.623,212,5.866,1.569,216
Gewalt,11,2.014,1.573,209,5.731,2.82,212,7.037,2.059,216
Heilpraktiker,11,5.569,1.421,211,5.118,1.573,212,4.438,1.628,219
Hingabe,11,6.579,1.549,209,6.128,1.704,211,5.65,1.824,214
individuell,11,6.422,1.533,211,5.981,1.417,210,5.542,1.414,216
intellektuell,11,6.09,1.482,210,6.033,1.468,211,5.269,1.535,216
kampflos,11,4.028,1.844,211,3.592,1.896,211,3.762,1.954,214
Kollektiv,11,5.479,1.559,211,6.053,1.539,209,5.62,1.477,216
Kommandeur,11,4.014,1.524,209,6.286,1.96,210,6.143,1.778,217
Lüge,11,2.351,1.464,211,4.514,2.605,210,6.009,2.032,216
militant,11,3.1,1.681,210,5.502,2.143,211,6.101,1.858,217
Minister,11,4.167,1.511,210,5.445,1.867,211,4.6,1.777,215
moralisch,11,5.78,1.575,209,5.735,1.686,211,4.94,1.691,215
nervös,11,3.614,1.421,210,4.346,1.81,211,6.488,1.657,215
Opa,11,7,1.68,210,5.905,1.675,210,4.477,1.85,216
predigen,11,4.271,1.705,210,4.871,1.747,210,4.456,1.805,217
primitiv,11,3.133,1.607,211,3.441,2.017,211,4.458,1.933,216
Prozess,11,3.66,1.62,212,5.781,1.683,210,6.079,1.633,216
respektieren,11,6.976,1.52,211,6.882,1.474,211,5.271,1.573,218
schenken,11,7.156,1.48,211,6.236,1.47,212,5.861,1.662,216
Schwätzer,11,2.839,1.574,211,3.476,1.972,212,6.148,1.938,216
verbünden,11,6.033,1.432,209,6.276,1.434,210,5.493,1.377,215
SPD (Partei),11,4.117,1.883,213,4.392,1.891,209,4.306,2.05,216
spenden,11,5.796,1.716,211,5.55,1.568,211,4.889,1.601,216
Streit,11,2.73,1.546,211,5.332,2.243,211,7.115,1.787,217
Technikerin,11,5.7,1.294,210,5.61,1.23,210,5.289,1.373,218
Therapeut,11,5.355,1.497,211,5.251,1.521,211,4.498,1.708,217
Unterschicht,11,3.719,1.664,210,3.743,1.72,210,4.577,1.738,215
unverheiratet,11,5.248,1.492,210,4.858,1.404,211,5.148,1.636,216
urteilen,11,4.818,1.423,209,5.9,1.539,210,5.602,1.456,216
verdienen,11,6.767,1.537,210,6.201,1.437,209,5.843,1.501,216
Verrat,11,2.043,1.478,209,4.815,2.767,211,6.338,1.953,216
verständnisvoll,11,7.243,1.501,210,6.286,1.632,210,4.707,1.735,215
verwöhnt,11,4.233,1.798,210,4.295,1.705,210,4.898,1.777,215
Vorurteil,11,3.105,1.483,209,4.967,2.164,210,5.391,1.584,215
Weihnachten,11,6.605,1.91,210,6.205,1.64,210,5.338,2.25,216
Wut,11,3.038,1.669,212,5.914,2.395,210,7.252,1.738,218
Armut,12,2.514,1.503,214,3.995,2.464,210,4.505,1.981,210
arrogant,12,2.549,1.5,215,4.387,2.375,212,5.562,2.132,210
aufhetzen,12,2.437,1.576,213,5.066,2.47,211,6.379,2.14,211
Ausländerin,12,5,1.473,214,4.63,1.501,211,5.27,1.495,211
autonom,12,5.256,1.566,215,5.794,1.659,209,5.355,1.531,211
Baby,12,7.535,1.798,213,4.057,2.948,211,7.286,1.905,210
benoten,12,4.949,1.35,214,5.806,1.599,211,5.507,1.478,209
beschweren,12,3.915,1.543,213,5.119,1.58,210,6.119,1.565,210
Bettler,12,3.657,1.526,213,3.269,1.877,212,4.233,1.861,210
